stop_id,stop_code,stop_name,stop_lat,stop_lon,num_unique_routes,service_id
5372,9059,Yonge St at Steeles Ave West South Side,43.7973,-79.4201,6,1
5583,653,Broadview Ave at Cosburn Ave South Side,43.6882,-79.3555,6,1
5650,651,Broadview Ave at Chester Hill Rd,43.6814,-79.3577,6,1
6070,3369,849 Broadview Ave,43.6792,-79.3581,6,1
6251,1592,Steeles Ave West at Murray Ross Pkwy East Side,43.7763,-79.5164,6,1
6540,649,876 Broadview Ave,43.6797,-79.3582,6,1
6735,2309,Eglinton Ave East at Rumsey Rd,43.7127,-79.3695,6,1
7042,10478,Steeles Ave East at Milliken GO Station,43.8246,-79.3026,6,1
7151,659,Broadview Ave at Pottery Rd South Side,43.6836,-79.3571,6,1
7190,2239,Eglinton Ave East at Bayview Ave,43.7112,-79.3768,6,1
7221,14092,Pearson Airport Terminal 1 - Ground Level Column R4,43.6817,-79.611,6,1
7239,9623,McCowan Rd at Triton Rd,43.7755,-79.2529,6,1
10041,14086,Staines Rd at Mantis Rd,43.8216,-79.2203,5,1
10097,1309,McCowan Rd at Milner Ave,43.7855,-79.2567,5,1
10380,656,Broadview Ave at Hillside Dr,43.6865,-79.3562,5,1
1073,5164,Lake Shore Blvd West at Thirty Seventh St,43.5933,-79.5383,5,1
1163,1938,Don Mills Rd at Godstone Rd,43.7827,-79.3489,5,1
1188,8525,Walsh Ave at Weston Rd East Side,43.7167,-79.5368,5,1
1205,8845,Wilson Ave at Clayson Rd,43.7175,-79.5235,5,1
1258,5151,Lake Shore Blvd West at Tenth St,43.6002,-79.5085,5,1
12888,14447,5799 Yonge St,43.785,-79.4167,5,1
1440,2379,Eglinton Ave West at Marlee Ave,43.6979,-79.4395,5,1
14714,14982,Staines Rd at Point Rouge Trail,43.8256,-79.2205,5,1
14955,15136,Wilson Ave at Agate Rd,43.7257,-79.4856,5,1
1632,4596,Sheppard Ave West at Kodiak Cres (South),43.7519,-79.4669,5,1
1719,5163,Lake Shore Blvd West at Thirty First St,43.5952,-79.5304,5,1
1767,3260,York Mills Rd at Hedgewood Rd East Side,43.7449,-79.3987,5,1
1852,9074,York Mills Rd at Old Yonge St,43.7449,-79.3993,5,1
1926,5155,Lake Shore Blvd West at Fifteenth St,43.599,-79.5139,5,1
1930,8844,Wilson Ave at Clayson Rd West Side,43.7177,-79.5235,5,1
2025,11333,York Mills Rd at Old York Mills Rd,43.7442,-79.4044,5,1
2042,7271,Sheppard Ave West at Chesswood Dr,43.7554,-79.4746,5,1
2156,5202,Lake Shore Blvd West at Superior Ave,43.6151,-79.4887,5,1
2219,14266,Staines Rd at Seasons Dr South Side,43.8302,-79.2236,5,1
2329,657,Broadview Ave at Mortimer Ave North Side,43.6843,-79.3567,5,1
2344,14107,Staines Rd at Warbler Cir,43.8267,-79.2217,5,1
2365,7275,Sheppard Ave West at Dufferin St - Sheppard West Station,43.7505,-79.4626,5,1
24144,15750,Weston Rd at St Clair Ave West,43.6727,-79.4678,5,1
24155,15755,Wilson Ave at Beverly Hills Dr,43.7193,-79.5166,5,1
24156,15756,Wilson Ave at Beverly Hills Dr,43.719,-79.517,5,1
24344,15903,Eglinton Ave East at Markham Rd East Side,43.7432,-79.2184,5,1
24347,15906,Kingston Rd at Celeste Dr East Side - Guildwood GO Station,43.7572,-79.1989,5,1
24348,15907,Kingston Rd at Celeste Dr West Side - Guildwood GO Station,43.7568,-79.1998,5,1
24349,15908,Kingston Rd at Galloway Rd East Side,43.7622,-79.1944,5,1
24350,15909,Kingston Rd at Galloway Rd West Side,43.7618,-79.1951,5,1
24352,15911,Kingston Rd at Lawrence Ave East South Side,43.7671,-79.1902,5,1
24483,16240,Sheppard Ave West at Sentinel Rd,43.7437,-79.4912,5,1
2474,8872,Wilson Ave at Lexfield Ave West Side,43.7234,-79.4971,5,1
24785,16485,Don Mills Rd at Van Horne Ave South Side,43.7867,-79.3531,5,1
25071,16329,Eglinton Ave West at Mt Dennis Station,43.6877,-79.486,5,1
2567,3921,Jane St at Sheppard Ave West,43.7395,-79.5134,5,1
270,14258,Don Mills Rd at Eglinton Ave East,43.7207,-79.3391,5,1
2771,8880,Wilson Ave at Ridge Rd East Side,43.7239,-79.4938,5,1
2857,7191,1900 Sheppard Ave East,43.7757,-79.3357,5,1
2900,2980,Overlea Blvd at Leaside Park Dr East Side,43.7037,-79.351,5,1
2978,8888,Wilson Ave at William Cragg Dr,43.7227,-79.5003,5,1
3055,2331,Eglinton Ave West at Black Creek Dr,43.6881,-79.4831,5,1
322,2288,Eglinton Ave East at Markham Rd West Side,43.7432,-79.2196,5,1
3250,1046,Ellesmere Rd at Gander Dr East Side,43.7776,-79.2262,5,1
3355,3109,Sheppard Ave West at Yukon Lane,43.7519,-79.4675,5,1
338,2380,Eglinton Ave West at Marlee Ave,43.6981,-79.4392,5,1
3393,8881,Wilson Ave at Ridge Rd West Side,43.7239,-79.4946,5,1
3554,6076,Sheppard Ave West at Kodiak Cres (North),43.754,-79.4694,5,1
3597,7676,Ellesmere Rd at Bellamy Rd North,43.7742,-79.242,5,1
3651,9824,Steeles Ave West Loop at Martin Grove Rd,43.7567,-79.6078,5,1
3783,2251,Eglinton Ave East at Brentcliffe Rd West Side,43.7146,-79.3601,5,1
3938,2927,Millwood Rd at Overlea Blvd South Side,43.7016,-79.3525,5,1
4096,1946,Don Mills Rd at Lawrence Ave East,43.7368,-79.3431,5,1
411,11925,Broadview Ave at Erindale Ave,43.6774,-79.3586,5,1
4133,7228,Sheppard Ave East at Pharmacy Ave,43.7764,-79.3179,5,1
4217,1052,Ellesmere Rd at Scarborough Golf Club Rd,43.7784,-79.2224,5,1
4222,6074,Sheppard Ave West at Keele St,43.7446,-79.4867,5,1
4396,2092,Dufferin St at Springhurst Ave,43.635,-79.4259,5,1
4410,1051,Ellesmere Rd at Orton Park Rd,43.7796,-79.2173,5,1
4699,7190,2025 Sheppard Ave East,43.7755,-79.3354,5,1
4727,12127,Overlea Blvd at Leaside Park Dr,43.7035,-79.3516,5,1
4736,5187,Lake Shore Blvd West at Long Branch Ave,43.5943,-79.5341,5,1
4758,7481,Albion Rd at Weston Rd,43.7172,-79.5383,5,1
4870,7229,Sheppard Ave East at Pharmacy Ave,43.7767,-79.3176,5,1
4871,8849,Wilson Ave at Dallner Rd East Side,43.7199,-79.5131,5,1
489,11845,Queen St East at Kingston Rd,43.667,-79.313,5,1
5231,2287,Eglinton Ave East at Leslie St West Side,43.7171,-79.3502,5,1
5357,8833,Wilson Ave at Agate Rd West Side,43.7258,-79.4864,5,1
538,4598,Sheppard Ave West at William R Allen Rd West Side,43.7503,-79.4639,5,1
