route_long_name,route_short_name,service_id,total_trips,avg_trip_distance_km,avg_duration_min,duration_stddev_min,avg_speed_kmh
DUPONT,26,3,82,9.086187953629144,32.69512195,4.528201668541447,16.992552944816516
DUPONT,26,4,88,9.086008102717726,32.35227273,4.614797771416901,17.1892269497412
BAYVIEW SOUTH,28,1,86,4.0460000187158585,14.19767442,1.8415095390382434,17.67075976044178
BAYVIEW SOUTH,28,2,80,4.0460000187158585,14.6,1.4106735979665888,16.97480418302393
BAYVIEW SOUTH,28,3,86,4.0460000187158585,14.20930233,1.3391795394314385,17.464452509376788
BAYVIEW SOUTH,28,4,94,4.0460000187158585,14.21276596,1.3828150475976095,17.480818658579395
DUFFERIN,29,1,291,12.505571779004487,54.9139748,8.854361784599503,13.973716083809725
DUFFERIN,29,2,384,12.276190827212607,55.37491319,8.62928872127114,13.61324952928261
DUFFERIN,29,3,319,12.341176120184805,51.15846395,6.589058971369496,14.710176788729195
DUFFERIN,29,4,350,12.310497375237091,50.3462381,7.401731627542833,14.936902528709219
HIGH PARK NORTH,30,1,92,2.234000042080879,8.05434783,1.0359214595331836,17.09273512472492
HIGH PARK NORTH,30,2,94,2.234000042080879,8.26595745,1.3696989257225094,16.78478919102076
HIGH PARK NORTH,30,3,90,2.234000042080879,7.87777778,1.172156396256042,17.539557229337245
HIGH PARK NORTH,30,4,102,2.234000042080879,7.83333333,1.1209531425141812,17.602468603298448
BLOOR-DANFORTH,300,1,98,21.554515434467064,54.54081633,32.47704632673854,17.641697857796355
BLOOR-DANFORTH,300,2,56,20.421594762376376,52.25,34.68235965773626,16.63087804066543
BLOOR-DANFORTH,300,3,172,23.66414259287507,62.90697674,32.378979653751664,18.124376514755696
BLOOR-DANFORTH,300,4,85,21.850340162305272,54.92941176,33.1324572463829,17.639442578706014
QUEEN,301,1,52,17.557715193153573,58.21185897,30.281402139949005,18.26322684003133
QUEEN,301,2,49,16.72736713198983,55.53537415,30.629760888242263,18.24238211513081
QUEEN,301,3,48,16.988435201191653,56.78055556,30.269143073046234,18.0805653802035
QUEEN,301,4,48,16.988435201191653,56.78055556,30.26914307304624,18.080565380203506
KINGSTON RD-MCCOWAN,302,1,12,19.035250052809715,41.0,0.0,27.85646349191666
KINGSTON RD-MCCOWAN,302,2,12,19.035250052809715,41.0,0.0,27.85646349191666
KINGSTON RD-MCCOWAN,302,3,21,19.037881008925893,41.0,0.0,27.860313671598863
KINGSTON RD-MCCOWAN,302,4,12,19.035250052809715,41.0,0.0,27.85646349191666
KING,304,1,41,9.069843819773778,39.20934959,13.233000573717868,13.303352121105238
KING,304,2,44,9.369063557040961,40.57878788,11.380467031009468,13.298715636205413
KING,304,3,74,9.363548532128334,42.16846847,12.32906596723293,13.126415226489797
KING,304,4,43,9.345737133954847,40.49922481,11.499933688994515,13.279063153651704
DUNDAS,305,1,27,9.401196400600451,41.72222222,12.584823311345207,13.614114820494708
DUNDAS,305,2,31,9.124171038548793,40.34086022,14.695611003717229,13.692712701477504
DUNDAS,305,3,71,8.564535248447472,38.00234742,17.25112168809478,14.09572028985582
DUNDAS,305,4,32,8.676981311524287,38.07604167,16.339837638539112,13.803703699814669
CARLTON,306,1,38,12.608476340770721,47.28333333,21.10746486671043,17.417940020713893
CARLTON,306,2,37,12.519927073572132,46.96666667,21.301543036497044,17.452099666886596
CARLTON,306,3,75,12.818776156703631,48.222,20.99770766324532,17.449325730661254
CARLTON,306,4,36,12.792302823315064,48.08055556,20.504935230991602,17.278045241629155
BATHURST,307,1,24,16.74856222824504,42.37013889,12.006639732493644,23.69304874183977
BATHURST,307,2,28,17.90987467047359,43.06190476,10.219138457635582,25.098993653504632
BATHURST,307,3,44,18.476129299876366,46.88030303,8.451294109803236,23.752124657561023
BATHURST,307,4,24,17.020787217654288,40.86388889,11.216910871811937,25.235602730629214
GREENWOOD,31,1,172,4.893200092017651,20.23837209,2.286495673776345,14.717965271452126
GREENWOOD,31,2,172,4.891791951431092,21.01162791,1.9107662291544236,14.098291256551713
GREENWOOD,31,3,161,4.892447917542842,20.75776398,1.8374178395136698,14.26261552270175
GREENWOOD,31,4,179,4.893876628835774,20.78212291,1.7441086681588565,14.238119497868311
